id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1082693628269613056,1082693628269613056,2019-01-08 11:40:51 CST,2019-01-08,11:40:51,-0500,52644028,saumyakul,Saumya Kulshreshtha,,Whatsapp read of the day. https://t.co/5FjBEX0uhg,en,[],[],['https://pbs.twimg.com/media/DwaAG3_X4AYl8KZ.jpg'],0,7,17,[],[],https://twitter.com/Saumyakul/status/1082693628269613056,,,1,https://pbs.twimg.com/media/DwaAG3_X4AYl8KZ.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082682399950098440,1082682399950098440,2019-01-08 10:56:14 CST,2019-01-08,10:56:14,-0500,17850606,jayantsinha,Jayant Sinha,,Another historic day in Parliament as 124 Constitutional Amendment is passed with a sweeping majority in the Lok Sabha! Now onto the Rajya Sabha ... 🇮🇳#SabkaSaathSabkaVikas,en,[],[],[],11,50,317,['sabkasaathsabkavikas'],[],https://twitter.com/jayantsinha/status/1082682399950098440,,,0,,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082702312924016641,1082702312924016641,2019-01-08 12:15:21 CST,2019-01-08,12:15:21,-0500,1014946746256928768,khajuraholit,Khajuraho Lit Fest,,An endeavor to bring the best minds together for in depth exchange of thoughts and ideas. #KLF2019 https://t.co/mgvtCZxYxX,en,[],[],['https://pbs.twimg.com/media/DwaIAmdUwAEoOx4.jpg'],0,8,13,['klf2019'],[],https://twitter.com/KhajurahoLit/status/1082702312924016641,,,1,https://pbs.twimg.com/media/DwaIAmdUwAEoOx4.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082778186742620160,1082778186742620160,2019-01-08 17:16:51 CST,2019-01-08,17:16:51,-0500,212450064,amodagrawal,Amod Agrawal,,Good morning beautiful people. Enjoy an awesome Wednesday https://t.co/mutsCf3pKn,en,[],[],['https://pbs.twimg.com/media/DwbNBDCVsAA83r4.jpg'],0,1,2,[],[],https://twitter.com/amodagrawal/status/1082778186742620160,,,1,https://pbs.twimg.com/media/DwbNBDCVsAA83r4.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082703519273107457,1082703519273107457,2019-01-08 12:20:09 CST,2019-01-08,12:20:09,-0500,87763988,anilpatni,ANIL PATNI,,#Raisina2019 happy to be attending the inaugural session of the Raisina Dialogue at Taj Palace Delhi. What’s the chief guest going to say? Wait for a few moments! https://t.co/SuP9Pcj8jx,en,[],[],['https://pbs.twimg.com/media/DwaJGcNXQAA0Y-u.jpg'],0,0,7,['raisina2019'],[],https://twitter.com/anilpatni/status/1082703519273107457,,,1,https://pbs.twimg.com/media/DwaJGcNXQAA0Y-u.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082773191683178497,1082773191683178497,2019-01-08 16:57:00 CST,2019-01-08,16:57:00,-0500,16841119,philwaukee,PHIL THE CULTURE,,"New TRAVEL SHOW coming soon  with @MatadorNetwork  #philgoodtravel  in the meantime check out my number one Traveler rule.  #Acknowledgment 
Whether it be a fist bump, handshake, or head nod, it’s a universal way for us in the black community to say “I see you”.  #blacktravel https://t.co/rbVtE5vZfq",en,['matadornetwork'],[],[],2,6,13,"['philgoodtravel', 'acknowledgment', 'blacktravel']",[],https://twitter.com/philwaukee/status/1082773191683178497,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1082772939747995648/pu/img/qZUfRX-sIteI_Lcf.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082727681131794432,1082727681131794432,2019-01-08 13:56:09 CST,2019-01-08,13:56:09,-0500,2670828826,mma_kennedy,Charity Kiki Kennedy,,"#Mentalhealthmatters
 all #efforts are valuable in this journey 😍 keep pushing wherever you are ..We geared to attaining Global Goals #SDGs 3.4 https://t.co/I6r3RxUJ8R",en,[],[],['https://pbs.twimg.com/media/DwafEsXWoAA5zwY.jpg'],0,1,3,"['mentalhealthmatters', 'efforts', 'sdgs']",[],https://twitter.com/Mma_Kennedy/status/1082727681131794432,,,1,https://pbs.twimg.com/media/DwafEsXWoAA5zwY.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082719400975831041,1082719400975831041,2019-01-08 13:23:15 CST,2019-01-08,13:23:15,-0500,3244198999,yamansharma22,Yaman Sharma,,Still waiting for the @KSHMRmusic India tour😶 https://t.co/k5F4HeS1Y3,en,['kshmrmusic'],[],['https://pbs.twimg.com/media/DwaXjAWX0AYEc70.jpg'],3,1,26,[],[],https://twitter.com/yamansharma22/status/1082719400975831041,,,1,https://pbs.twimg.com/media/DwaXjAWX0AYEc70.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082678748422524930,1082678748422524930,2019-01-08 10:41:43 CST,2019-01-08,10:41:43,-0500,933595256,thecanonfanboy,Bobby Roy,,"Some random selfie moments testing some camera gear! 😍

#randomness #evening #selfie #canoneosm50 #delhi https://t.co/JeibItAp0P",en,[],[],['https://pbs.twimg.com/media/DwZyc_CXQAIi8qp.jpg'],0,0,5,"['randomness', 'evening', 'selfie', 'canoneosm50', 'delhi']",[],https://twitter.com/theCanonFanboy/status/1082678748422524930,,,1,https://pbs.twimg.com/media/DwZyc_CXQAIi8qp.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
1082693284840030209,1082693284840030209,2019-01-08 11:39:29 CST,2019-01-08,11:39:29,-0500,106027998,nrjshm,Neeraj Sharma,,"An early morning at Sultanpur National Park, Gurgaon.... https://t.co/hEVbTpZgRX",en,[],[],['https://pbs.twimg.com/media/DwZ_yx3X4AA_Brd.jpg'],0,1,2,[],[],https://twitter.com/nrjshm/status/1082693284840030209,,,1,https://pbs.twimg.com/media/DwZ_yx3X4AA_Brd.jpg,Delhi,,,,,,"{'user_id': None, 'username': None}",,,,
