id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1081166191891267585,1081166191891267585,2019-01-04 06:31:21 CST,2019-01-04,06:31:21,-0500,766700259280056320,somnathduttakol,𝐒𝐨𝐦𝐧𝐚𝐭𝐡 𝐃𝐮𝐭𝐭𝐚,,"Shame @abpanandatv 
@MamataOfficial @abhishekaitc @ColDiptangshu @derekobrienmp 
@kakoligdastidar https://t.co/6N0OEpIR7X",en,"['abpanandatv', 'mamataofficial', 'abhishekaitc', 'coldiptangshu', 'derekobrienmp', 'kakoligdastidar']",[],['https://pbs.twimg.com/media/DwES5_MWkAI1ldk.jpg'],0,8,17,[],[],https://twitter.com/somnathduttakol/status/1081166191891267585,,,1,https://pbs.twimg.com/media/DwES5_MWkAI1ldk.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081168032293052418,1081168032293052418,2019-01-04 06:38:40 CST,2019-01-04,06:38:40,-0500,779288077667663873,madhumitakarma2,Madhumita,,"Our favourite Mastermind #VikasGupta will be in a new 'avatar' from tomorrow at 9pm @colorstv ... He will rock in the show like before as a producer, writer, anchor, contestant in BB House.✌️✌️👍👍
#khatronkekhiladi9 #JigarPeTrigger #VikasInKkk9 https://t.co/v39aOdaKPb",en,['colorstv'],[],['https://pbs.twimg.com/media/DwEUkOwUwAAMv4D.jpg'],0,16,10,"['vikasgupta', 'khatronkekhiladi9', 'jigarpetrigger', 'vikasinkkk9']",[],https://twitter.com/MadhumitaKarma2/status/1081168032293052418,,,1,https://pbs.twimg.com/media/DwEUkOwUwAAMv4D.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081272482256977920,1081272482256977920,2019-01-04 13:33:43 CST,2019-01-04,13:33:43,-0500,1005654707119927296,pranushkaloveee,Priyanshi Pathak,,"""Our togetherness is forever.""❤️

One glimpse of them together is enough to keep us going☺️

#Prabhas #AnushkaShetty #Pranushka 
#PranushkaAtSSKWedding https://t.co/bEETmeaHYv",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/DwFyql9VAAAPHU1.jpg'],0,5,22,"['prabhas', 'anushkashetty', 'pranushka', 'pranushkaatsskwedding']",[],https://twitter.com/pranushkaloveee/status/1081272482256977920,,,1,https://pbs.twimg.com/tweet_video_thumb/DwFyql9VAAAPHU1.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081257520251858944,1081257520251858944,2019-01-04 12:34:16 CST,2019-01-04,12:34:16,-0500,148708194,nripendraj9,NJ,,"Biggest Megastar @aapkadharam ji
Evergreen #Dharmendra
Legend of Indian Cinema
But above All
Nicest Human Being 👏👏👌👌 https://t.co/cGtNL0OdJg",en,['aapkadharam'],[],[],3,12,66,['dharmendra'],[],https://twitter.com/nripendraj9/status/1081257520251858944,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1081257281302351872/pu/img/1SuqRnvpsmSt39fI.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081160337590755329,1081160337590755329,2019-01-04 06:08:06 CST,2019-01-04,06:08:06,-0500,4002445214,shutupjustfocus,-- .-. .-.-.- ..-. --- -.-. ..- ... . -.. 💻🤓,,"So this Nuclear Reactor is going to be transferred and transformed into a Nuclear Fusion mechine within coming 10 years In Amaravati, Ahmedabad! Thats a cooling pump👇  

#javascript #webdev #100DaysOfCode #301DaysOfCode #html #IoT #100daysofMLcode #science #gamedev #CodeNewbie https://t.co/kvdJmDX8S3",en,[],[],"['https://pbs.twimg.com/media/DwENlXBXQAAah2m.jpg', 'https://pbs.twimg.com/media/DwENmERWsAAxP0T.jpg']",0,9,8,"['javascript', 'webdev', '100daysofcode', '301daysofcode', 'html', 'iot', '100daysofmlcode', 'science', 'gamedev', 'codenewbie']",[],https://twitter.com/shutupjustfocus/status/1081160337590755329,,,1,https://pbs.twimg.com/media/DwENlXBXQAAah2m.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081114701222764544,1081114701222764544,2019-01-04 03:06:45 CST,2019-01-04,03:06:45,-0500,859257981363474432,ballari_das,kaira_rocks,,"Shivi 🔥🔥🔥🔥
@shivangijoshi10 https://t.co/9waRPAAso0",en,['shivangijoshi10'],[],['https://pbs.twimg.com/media/DwDkFvEUUAA0LT2.jpg'],0,4,14,[],[],https://twitter.com/ballari_das/status/1081114701222764544,,,1,https://pbs.twimg.com/media/DwDkFvEUUAA0LT2.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081241883882315776,1081241883882315776,2019-01-04 11:32:08 CST,2019-01-04,11:32:08,-0500,1041211211021377537,itssonalix,Sonali,,"Teevir today at 93.5 Redfm 😍🔥❤

@KVBohra @bombaysunshine #KaranvirBohra #TeejaySidhu #Teevir https://t.co/fZadN8WdTb",en,"['kvbohra', 'bombaysunshine']",[],"['https://pbs.twimg.com/media/DwFXtIFUwAEfFPA.jpg', 'https://pbs.twimg.com/media/DwFXuDVU0AENK0H.jpg', 'https://pbs.twimg.com/media/DwFXuy-VYAA1KMC.jpg']",1,5,26,"['karanvirbohra', 'teejaysidhu', 'teevir']",[],https://twitter.com/ItsSonaliX/status/1081241883882315776,,,1,https://pbs.twimg.com/media/DwFXtIFUwAEfFPA.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081204849792991232,1081204849792991232,2019-01-04 09:04:58 CST,2019-01-04,09:04:58,-0500,2916947141,laghateparthofc,parтн ѕaмтнaan ғanclυв,,"#AnuragBasu ❤

You are love #ParthSamthaan 💓

@LaghateParth Instagram Story ✨

#KasautiiZindagiiKay https://t.co/IrsskkHHZA",en,['laghateparth'],[],['https://pbs.twimg.com/media/DwE2EGFVAAAW0oN.jpg'],0,4,33,"['anuragbasu', 'parthsamthaan', 'kasautiizindagiikay']",[],https://twitter.com/LaghateParthOfc/status/1081204849792991232,,,1,https://pbs.twimg.com/media/DwE2EGFVAAAW0oN.jpg,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081076890050355202,1081076890050355202,2019-01-04 00:36:30 CST,2019-01-04,00:36:30,-0500,146937987,sumitkadei,Sumit Kadel,,#Simmba First Week Collection stands ₹ 150 cr nett . BLOCKBUSTER,en,[],[],[],2,28,272,['simmba'],[],https://twitter.com/SumitkadeI/status/1081076890050355202,,,0,,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
1081193422134882304,1081193422134882304,2019-01-04 08:19:34 CST,2019-01-04,08:19:34,-0500,129094395,bmtheequitydesk,Basant Maheshwari,,When the valuation for a leading bull market stock gets reasonable - the bull market for the stock is in most cases over.  #TheThoughtfulInvestor,en,[],[],[],26,27,249,['thethoughtfulinvestor'],[],https://twitter.com/BMTheEquityDesk/status/1081193422134882304,,,0,,Kolkata,,,,,,"{'user_id': None, 'username': None}",,,,
